;A/turkey/Ontario/FAV110-4/2009(H1N1);A/mallard/Nova_Scotia/00088/2010(H1N1);A/thick-billed_murre/Canada/1871/2011(H1N1);A/duck/Guangxi/030D/2009(H1N1);A/mallard/France/691/2002(H1N1);A/duck/Hokkaido/w73/2007(H1N1);A/pintail/Miyagi/1472/2008(H1N1);A/mallard/Korea/KNU_YP09/2009(H1N1);A/mallard/Maryland/352/2002(H1N1);A/mallard/Maryland/26/2003(H1N1);A/dunlin/Alaska/44421-660/2008(H1N1);A/mallard/Minnesota/Sg-00620/2008(H1N1);A/turkey/Virginia/4135/2014(H1N1);A/chicken/Eastern_China/XH222/2008(H5N1);A/duck/Eastern_China/JS017/2009(H5N1);A/chicken/Yunnan/chuxiong01/2005(H5N1);A/chicken/Germany/R3234/2007(H5N1);A/domestic_duck/Germany/R1772/2007(H5N1);A/wild_bird/Hong_Kong/07035-1/2011(H5N1);A/Chicken/Hong_Kong/822.1/01_(H5N1);A/chicken/Miyazaki/10/2011(H5N1);A/chicken/Korea/es/2003(H5N1);A/mandarin_duck/Korea/K10-483/2010(H5N1);A/turkey/VA/505477-18/2007(H5N1);A/American_black_duck/NB/2538/2007(H7N3);A/American_black_duck/New_Brunswick/02490/2007(H7N3);A/American_green-winged_teal/California/44242-906/2007(H7N3);A/avian/Delaware_Bay/226/2006(H7N3);A/chicken/British_Columbia/GSC_human_B/04(H7N3);A/chicken/Rizhao/713/2013(H7N9);A/chicken/Jiangsu/1021/2013(H7N9);A/duck/Jiangxi/3096/2009(H7N9);A/wild_duck/Korea/SH19-47/2010(H7N9);A/turkey/Minnesota/1/1988(H7N9);A/mallard/Minnesota/AI09-3770/2009(H7N9);A/mallard/Postdam/178-4/1983(H2N2);A/duck/Hong_Kong/319/1978(H2N2);A/emperor_goose/Alaska/44297-260/2007(H2N2)
A/turkey/Ontario/FAV110-4/2009(H1N1);0.0;1.2253543612882822;1.2253543612882822;1.5672414560547168;1.096376886463304;1.5672416298402823;1.5672414560547168;1.5845831879884145;1.5845863380318406;1.0963838611905885;1.0963788309476854;1.0963822697447085;0.4881997864086429;1.584580899593334;1.567242667724031;1.557182249737366;1.5845815926479645;1.4439474707588715;1.2950281060644784;1.58458192000802;1.5845806996694023;1.584576879686665;1.5845806996694023;1.4439463962943933;1.0422807159379772;1.096376886463304;1.0963838611905885;1.0963798998242567;1.0963822697447085;1.042275888826282;1.372095062392873;1.7320665402257873;1.0422756729589082;1.0963766814342648;1.3910870487347324;1.7320550462488882;1.584582482648159;1.4439539662420202
A/mallard/Nova_Scotia/00088/2010(H1N1);1.2253543612882822;0.0;0.8948014888965758;1.042275888826282;1.096376886463304;1.042275750279714;1.042275888826282;0.8948034752849026;1.225349163858482;1.1414304709870748;1.2253501376989675;1.3912688872743502;1.2253541429072357;1.2979597438840642;1.0422804190176294;1.2846069771013617;1.042274462389969;0.7240167154419623;2.014950368023051;1.3912704127575353;1.5845806996694023;1.1414340532375036;1.5845806996694023;1.0422761472932507;1.0422807159379772;1.042275888826282;1.1414289770639243;1.0963798998242567;1.12840773489836;1.042275888826282;1.3912743284708995;1.2979565900384387;1.2979640528659502;1.2979599675790041;1.042279118169489;1.3912748887421458;1.3912648238836596;1.225353579116927
A/thick-billed_murre/Canada/1871/2011(H1N1);1.2253543612882822;0.8948014888965758;0.0;1.042275888826282;0.8948012513424146;1.042275750279714;1.042275888826282;0.8825378162694619;1.225349163858482;1.1414304709870748;1.2253501376989675;1.5304754146270625;1.2253541429072357;1.2979597438840642;1.0422804190176294;1.2846069771013617;1.042274462389969;1.0080372002855142;2.3121253205239327;1.3912704127575353;1.0422754999169115;1.1414340532375036;1.0422754999169115;0.5839918347203366;1.0422807159379772;1.042275888826282;1.1414289770639243;0.894798012985234;1.4255761332645989;1.042275888826282;1.3912743284708995;1.2979565900384387;1.2979640528659502;1.2979599675790041;0.5481891627321431;1.3912748887421458;1.3912648238836596;1.225353579116927
A/duck/Guangxi/030D/2009(H1N1);1.5672414560547168;1.042275888826282;1.042275888826282;0.0;1.5823590929823013;0.828430622295059;0.8284272181982715;1.5672440947367932;1.5672362887200961;1.4833210715079304;1.5672356674642174;1.0805619226109684;1.567239683254229;2.0833530418647115;1.0805643792130013;1.8264737662136667;1.0805591378258441;1.1555172327237528;1.3166306983293907;2.0833561711592665;1.879530046701916;1.4833208796799227;1.879530046701916;1.1555134101578801;1.1587596083223843;1.080562831108864;1.483317396939583;1.1555138048020694;1.4439467060392417;1.1587652633799053;1.826462242952175;1.5672393087393175;1.8264624776645633;2.083354456654547;1.5823560566494166;2.0833520187824206;2.083347936091627;1.8795369069159733
A/mallard/France/691/2002(H1N1);1.096376886463304;1.096376886463304;0.8948012513424146;1.5823590929823013;0.0;1.582356708388943;1.5823590929823013;1.0080388989266567;0.8218562316677662;0.8947977197487944;0.8874196536295074;1.3612925507935643;1.0963806242853025;0.8948021497718628;1.582356011910747;1.0019688335606816;1.582361297334728;1.0963787419326536;2.014950368023051;0.8948004729353443;0.8372545467850045;0.8947984156858411;0.8372545467850045;0.8284271881052518;1.1284089354071511;1.3612944560391043;0.8292345199487272;1.3612866288769965;1.4439467060392417;1.128412134098653;1.1769395505671696;0.7836196543696587;1.096377588337532;1.008034767540039;1.0171040641582465;0.8372546282312214;0.9014267910162062;1.0080388875491053
A/duck/Hokkaido/w73/2007(H1N1);1.5672416298402823;1.042275750279714;1.042275750279714;0.828430622295059;1.582356708388943;0.0;0.8948012513424146;1.5672440947367932;1.5672405119694304;1.4833210715079304;1.5672356674642174;0.9258813768342407;1.567239683254229;2.0833530418647115;0.82842898258383;1.8264737662136667;0.8948021393104568;1.1555172327237528;1.3166306983293907;2.0833561711592665;1.879530046701916;1.4833208796799227;1.879530046701916;1.1555134101578801;1.1587613666338257;0.9258775843746321;1.4833196708937066;1.1701199159017222;1.4439467060392417;1.1587652633799053;1.826462242952175;1.5672393087393175;1.8264624776645633;2.083354456654547;1.5823560566494166;2.0833520187824206;2.083347936091627;1.8795369069159733
A/pintail/Miyagi/1472/2008(H1N1);1.5672414560547168;1.042275888826282;1.042275888826282;0.8284272181982715;1.5823590929823013;0.8948012513424146;0.0;1.5672440947367932;1.5672362887200961;1.4833210715079304;1.5672356674642174;0.9262151082954233;1.567239683254229;2.0833530418647115;0.9262127962335285;1.8264737662136667;0.9262100667622803;1.1555172327237528;1.3166306983293907;2.0833561711592665;1.879530046701916;1.4833208796799227;1.879530046701916;1.1555134101578801;1.1587596083223843;0.9262097223935939;1.483317396939583;0.9262117571880424;1.316632283517265;1.1587652633799053;1.826462242952175;1.5672393087393175;1.8264624776645633;2.083354456654547;1.5823560566494166;2.0833520187824206;2.083347936091627;1.8795369069159733
A/mallard/Korea/KNU_YP09/2009(H1N1);1.5845831879884145;0.8948034752849026;0.8825378162694619;1.5672440947367932;1.0080388989266567;1.5672440947367932;1.5672440947367932;0.0;1.1555163410162095;1.1555129574384182;1.4439542713049036;1.643718902321325;1.5845771070689807;0.7578762049635088;1.567242667724031;0.8041362399105765;1.2253486040685289;1.0080372002855142;2.472142602639792;0.8419145066077931;1.1555142439050314;1.155513245344764;1.1555142439050314;0.8825334962388354;1.1555163410162095;1.1555188820977946;1.1555163410162095;1.1701199159017222;1.8524302165908466;1.1555188820977946;0.979114492246822;1.4439500718247018;0.8948002165680009;0.7836194368304064;1.0171040641582465;1.008036089056418;0.9014267910162062;0.8825335729001154
A/mallard/Maryland/352/2002(H1N1);1.5845863380318406;1.225349163858482;1.225349163858482;1.5672362887200961;0.8218562316677662;1.5672405119694304;1.5672362887200961;1.1555163410162095;0.0;0.8284302570046975;0.8874196536295074;0.894798118031531;1.5845771070689807;1.0422804190176294;1.567242667724031;1.2846069771013617;1.2253486040685289;1.2253486040685289;1.3166306983293907;1.0171068500392835;1.299735563442539;0.8947984156858411;1.299735563442539;0.9005856811053548;0.8948048488334734;0.8948012513424146;0.6356752380855824;0.7920798235593338;1.316632283517265;1.096376886463304;1.372095062392873;0.8218617427439767;1.096377588337532;1.0171049364632267;1.3910870487347324;1.2997293596193913;0.9014267910162062;1.2997310671050855
A/mallard/Maryland/26/2003(H1N1);1.0963838611905885;1.1414304709870748;1.1414304709870748;1.4833210715079304;0.8947977197487944;1.4833210715079304;1.4833210715079304;1.1555129574384182;0.8284302570046975;0.0;0.8874196536295074;0.7639357500126494;1.0963806242853025;1.0422804190176294;1.4833167259258744;1.2846069771013617;1.1555172327237528;1.1414322343304093;1.3166306983293907;1.0171068500392835;1.299735563442539;0.837253158734768;1.299735563442539;0.7240195996705268;0.8284271022826601;0.763933514806638;0.7639320016110105;0.7920798235593338;1.12840773489836;0.8948012513424146;1.372095062392873;0.8948026208202009;0.8948002165680009;1.0171049364632267;1.3910870487347324;1.2997293596193913;0.9014267910162062;1.2997310671050855
A/dunlin/Alaska/44421-660/2008(H1N1);1.0963788309476854;1.2253501376989675;1.2253501376989675;1.5672356674642174;0.8874196536295074;1.5672356674642174;1.5672356674642174;1.4439542713049036;0.8874196536295074;0.8874196536295074;0.0;0.8948015879316245;1.0963806242853025;1.5304763987692809;1.567242667724031;1.4439514406791432;1.2253486040685289;1.2253486040685289;1.2950281060644784;1.0171068500392835;1.5304804973993669;0.8948020650568651;1.5304804973993669;0.8874211070200033;0.8948054279067037;0.8948005745105547;0.8874214510888123;0.8874181601562157;0.8948011259690247;1.0963780576798854;1.372095062392873;0.9397678460900352;1.0963790731871086;1.0171049364632267;1.3910870487347324;1.5304806540307254;0.9014267910162062;1.4439552405156064
A/mallard/Minnesota/Sg-00620/2008(H1N1);1.0963822697447085;1.3912688872743502;1.5304754146270625;1.0805619226109684;1.3612925507935643;0.9258813768342407;0.9262151082954233;1.643718902321325;0.894798118031531;0.7639357500126494;0.8948015879316245;0.0;1.0963806242853025;1.6584630627100978;1.0422804190176294;1.6437119675399572;0.7652386565526399;1.6437123740803372;0.8284276638986512;1.6584735032930666;1.8645159786927934;0.7652362050449142;1.8645159786927934;1.361286391905594;0.8284271022826601;0.548188443231652;0.6833751271042843;0.7920798235593338;1.1701151093272983;1.042275888826282;1.372095062392873;0.8948026208202009;1.361295118515045;1.6584695980716333;1.6584598198306821;1.8645063144914502;1.3612929594643788;1.8645156971551842
A/turkey/Virginia/4135/2014(H1N1);0.4881997864086429;1.2253541429072357;1.2253541429072357;1.567239683254229;1.0963806242853025;1.567239683254229;1.567239683254229;1.5845771070689807;1.5845771070689807;1.0963806242853025;1.0963806242853025;1.0963806242853025;0.0;1.584580899593334;1.567242667724031;1.557182249737366;1.5845815926479645;1.4439474707588715;1.2950281060644784;1.58458192000802;1.5845806996694023;1.584576879686665;1.5845806996694023;1.4439463962943933;1.0422813294285334;1.096376886463304;1.0963796054293198;1.0963798998242567;1.0963822697447085;1.042275888826282;1.372095062392873;1.7320665402257873;1.0422756729589082;1.0963766814342648;1.3910870487347324;1.7320550462488882;1.584582482648159;1.4439539662420202
A/chicken/Eastern_China/XH222/2008(H5N1);1.584580899593334;1.2979597438840642;1.2979597438840642;2.0833530418647115;0.8948021497718628;2.0833530418647115;2.0833530418647115;0.7578762049635088;1.0422804190176294;1.0422804190176294;1.5304763987692809;1.6584630627100978;1.584580899593334;0.0;2.0833530418647115;1.0019688335606816;1.9124143631343031;1.184720283579793;2.358907178998038;0.8419145066077931;1.0422754999169115;1.1010213685791541;1.0422754999169115;1.042659847578875;1.425581372142915;1.6204156814775388;1.101022976286231;1.5466825748729889;1.9656744815711136;1.4255792339026812;1.1769395505671696;1.5304736841371778;0.8948002165680009;0.6126749446345627;1.0171040641582465;0.8948004180176667;0.9014267910162062;0.7836207280273584
A/duck/Eastern_China/JS017/2009(H5N1);1.567242667724031;1.0422804190176294;1.0422804190176294;1.0805643792130013;1.582356011910747;0.82842898258383;0.9262127962335285;1.567242667724031;1.567242667724031;1.4833167259258744;1.567242667724031;1.0422804190176294;1.567242667724031;2.0833530418647115;0.0;1.8264737662136667;0.8948021393104568;1.1555172327237528;1.3166306983293907;2.0833561711592665;1.879530046701916;1.4833208796799227;1.879530046701916;1.1555134101578801;1.158762897106044;1.042275888826282;1.483327666725927;1.042278045140165;1.3166343250077261;1.1587652633799053;1.826462242952175;1.5672423977830476;1.8264624776645633;2.083354456654547;1.5823560566494166;2.0833520187824206;2.083347936091627;1.8795369069159733
A/chicken/Yunnan/chuxiong01/2005(H5N1);1.557182249737366;1.2846069771013617;1.2846069771013617;1.8264737662136667;1.0019688335606816;1.8264737662136667;1.8264737662136667;0.8041362399105765;1.2846069771013617;1.2846069771013617;1.4439514406791432;1.6437119675399572;1.557182249737366;1.0019688335606816;1.8264737662136667;0.0;1.4845757912476074;1.274179682242277;2.472142602639792;0.8419145066077931;1.2846021904920235;1.274182178095316;1.2846021904920235;1.2846011491072318;1.2846125444889367;1.284602716047857;1.2846125444889367;1.2741838862201291;1.8524287261352583;1.225353579116927;0.8372591975690398;1.4439500718247018;1.2846067900607068;1.2846018293107022;1.0171040641582465;1.0019696669431255;1.225353479547664;1.225353579116927
A/chicken/Germany/R3234/2007(H5N1);1.5845815926479645;1.042274462389969;1.042274462389969;1.0805591378258441;1.582361297334728;0.8948021393104568;0.9262100667622803;1.2253486040685289;1.2253486040685289;1.1555172327237528;1.2253486040685289;0.7652386565526399;1.5845815926479645;1.9124143631343031;0.8948021393104568;1.4845757912476074;0.0;1.1555172327237528;1.3166306983293907;1.9124166970578926;1.879530046701916;1.1414340532375036;1.879530046701916;1.1555134101578801;0.8948015632931856;0.8218594567265427;1.1414314254475357;0.7920798235593338;1.316632283517265;0.8948012513424146;1.5823672052185884;1.2253508888636588;1.5823582725797678;1.912406483964105;1.5823560566494166;1.91240642999162;1.9124095005574873;1.8795369069159733
A/domestic_duck/Germany/R1772/2007(H5N1);1.4439474707588715;0.7240167154419623;1.0080372002855142;1.1555172327237528;1.0963787419326536;1.1555172327237528;1.1555172327237528;1.0080372002855142;1.2253486040685289;1.1414322343304093;1.2253486040685289;1.6437123740803372;1.4439474707588715;1.184720283579793;1.1555172327237528;1.274179682242277;1.1555172327237528;0.0;2.3121253205239327;1.3346490364860415;1.1555142439050314;1.155513245344764;1.1555142439050314;1.096377887566291;1.1555204170754223;1.1555188820977946;1.1555143873270026;1.0963798998242567;1.8524302165908466;1.1555188820977946;1.372095062392873;1.2253508888636588;1.184722833685214;1.1847185953284907;1.0963783254642863;1.3346507406087085;1.3346493761142142;1.225353579116927
