;A/turkey/Ontario/FAV110-4/2009(H1N1);A/mallard/Nova_Scotia/00088/2010(H1N1);A/thick-billed_murre/Canada/1871/2011(H1N1);A/duck/Guangxi/030D/2009(H1N1);A/mallard/France/691/2002(H1N1);A/duck/Hokkaido/w73/2007(H1N1);A/pintail/Miyagi/1472/2008(H1N1);A/mallard/Korea/KNU_YP09/2009(H1N1);A/mallard/Maryland/352/2002(H1N1);A/mallard/Maryland/26/2003(H1N1);A/dunlin/Alaska/44421-660/2008(H1N1);A/mallard/Minnesota/Sg-00620/2008(H1N1);A/turkey/Virginia/4135/2014(H1N1);A/chicken/Eastern_China/XH222/2008(H5N1);A/duck/Eastern_China/JS017/2009(H5N1);A/chicken/Yunnan/chuxiong01/2005(H5N1);A/chicken/Germany/R3234/2007(H5N1);A/domestic_duck/Germany/R1772/2007(H5N1);A/wild_bird/Hong_Kong/07035-1/2011(H5N1);A/Chicken/Hong_Kong/822.1/01_(H5N1);A/chicken/Miyazaki/10/2011(H5N1);A/chicken/Korea/es/2003(H5N1);A/mandarin_duck/Korea/K10-483/2010(H5N1);A/turkey/VA/505477-18/2007(H5N1);A/American_black_duck/NB/2538/2007(H7N3);A/American_black_duck/New_Brunswick/02490/2007(H7N3);A/American_green-winged_teal/California/44242-906/2007(H7N3);A/avian/Delaware_Bay/226/2006(H7N3);A/chicken/British_Columbia/GSC_human_B/04(H7N3);A/chicken/Rizhao/713/2013(H7N9);A/chicken/Jiangsu/1021/2013(H7N9);A/duck/Jiangxi/3096/2009(H7N9);A/wild_duck/Korea/SH19-47/2010(H7N9);A/turkey/Minnesota/1/1988(H7N9);A/mallard/Minnesota/AI09-3770/2009(H7N9);A/mallard/Postdam/178-4/1983(H2N2);A/duck/Hong_Kong/319/1978(H2N2);A/emperor_goose/Alaska/44297-260/2007(H2N2)
A/wild_bird/Hong_Kong/07035-1/2011(H5N1);1.2950281060644784;2.014950368023051;2.3121253205239327;1.3166306983293907;2.014950368023051;1.3166306983293907;1.3166306983293907;2.472142602639792;1.3166306983293907;1.3166306983293907;1.2950281060644784;0.8284276638986512;1.2950281060644784;2.358907178998038;1.3166306983293907;2.472142602639792;1.3166306983293907;2.3121253205239327;0.0;2.312137902271388;2.605564856199294;1.3166338478524722;2.605564856199294;2.0149563713511043;1.3166326488817504;1.3166272495535623;1.3166307316903385;1.4641072146751526;1.0422816935169976;1.3166272495535623;2.014950368023051;1.2950277823520082;2.014955369395466;2.3121343275904565;2.3121256101216545;2.605569329650507;2.01496216099963;2.6055691881072107
A/Chicken/Hong_Kong/822.1/01_(H5N1);1.58458192000802;1.3912704127575353;1.3912704127575353;2.0833561711592665;0.8948004729353443;2.0833561711592665;2.0833561711592665;0.8419145066077931;1.0171068500392835;1.0171068500392835;1.0171068500392835;1.6584735032930666;1.58458192000802;0.8419145066077931;2.0833561711592665;0.8419145066077931;1.9124166970578926;1.3346490364860415;2.312137902271388;0.0;1.0422754999169115;1.1010213685791541;1.0422754999169115;1.042659847578875;1.4255780638859505;1.6204156814775388;1.1010289662358446;1.5466825748729889;1.4255761332645989;1.4255792339026812;0.979114492246822;1.017108033902332;0.8948002165680009;0.841917721352047;1.1010248469246164;0.8948004180176667;0.8419164321085191;0.8419163074199787
A/chicken/Miyazaki/10/2011(H5N1);1.5845806996694023;1.5845806996694023;1.0422754999169115;1.879530046701916;0.8372545467850045;1.879530046701916;1.879530046701916;1.1555142439050314;1.299735563442539;1.299735563442539;1.5304804973993669;1.8645159786927934;1.5845806996694023;1.0422754999169115;1.879530046701916;1.2846021904920235;1.879530046701916;1.1555142439050314;2.605564856199294;1.0422754999169115;0.0;1.341692974716807;0.5481924397450655;1.0422761472932507;1.5039710062164886;1.5823590929823013;1.34168892100206;1.4348803644226678;1.9656652578350986;1.5845769178185947;1.5845831879884145;1.5304781104168796;1.5845766509364694;1.1555172456486957;1.3565953354294606;0.6719272659553326;1.0422806859490379;1.1555188820977946
A/chicken/Korea/es/2003(H5N1);1.584576879686665;1.1414340532375036;1.1414340532375036;1.4833208796799227;0.8947984156858411;1.4833208796799227;1.4833208796799227;1.155513245344764;0.8947984156858411;0.837253158734768;0.8948020650568651;0.7652362050449142;1.584576879686665;1.1010213685791541;1.4833208796799227;1.274182178095316;1.1414340532375036;1.155513245344764;1.3166338478524722;1.1010213685791541;1.341692974716807;0.0;1.3416941936000626;1.042659847578875;0.8948048488334734;0.8218594567265427;0.8218617427439767;0.7920798235593338;1.316632283517265;0.8948012513424146;1.372095062392873;0.8948026208202009;0.8948002165680009;1.1010266222176028;1.3910870487347324;1.3416956179015642;0.9014267910162062;1.3416875987907133
A/mandarin_duck/Korea/K10-483/2010(H5N1);1.5845806996694023;1.5845806996694023;1.0422754999169115;1.879530046701916;0.8372545467850045;1.879530046701916;1.879530046701916;1.1555142439050314;1.299735563442539;1.299735563442539;1.5304804973993669;1.8645159786927934;1.5845806996694023;1.0422754999169115;1.879530046701916;1.2846021904920235;1.879530046701916;1.1555142439050314;2.605564856199294;1.0422754999169115;0.5481924397450655;1.3416941936000626;0.0;1.0422761472932507;1.5039710062164886;1.5823590929823013;1.34168892100206;1.4348803644226678;1.9656652578350986;1.5845769178185947;1.5845831879884145;1.5304781104168796;1.5845766509364694;1.1555172456486957;1.3565953354294606;0.6719272659553326;1.0422806859490379;1.1555188820977946
A/turkey/VA/505477-18/2007(H5N1);1.4439463962943933;1.0422761472932507;0.5839918347203366;1.1555134101578801;0.8284271881052518;1.1555134101578801;1.1555134101578801;0.8825334962388354;0.9005856811053548;0.7240195996705268;0.8874211070200033;1.361286391905594;1.4439463962943933;1.042659847578875;1.1555134101578801;1.2846011491072318;1.1555134101578801;1.096377887566291;2.0149563713511043;1.042659847578875;1.0422761472932507;1.042659847578875;1.0422761472932507;0.0;1.12840689280074;1.1555188820977946;1.0426517054927444;1.0080410866737282;1.4641128273342474;1.128412134098653;1.372095062392873;1.0426603282576252;1.042279296576453;1.0426517668147994;1.1237083735454405;1.0426544645707736;1.04265338408959;0.8372556610248694
A/American_black_duck/NB/2538/2007(H7N3);1.0422807159379772;1.0422807159379772;1.0422807159379772;1.1587596083223843;1.1284089354071511;1.1587613666338257;1.1587596083223843;1.1555163410162095;0.8948048488334734;0.8284271022826601;0.8948054279067037;0.8284271022826601;1.0422813294285334;1.425581372142915;1.158762897106044;1.2846125444889367;0.8948015632931856;1.1555204170754223;1.3166326488817504;1.4255780638859505;1.5039710062164886;0.8948048488334734;1.5039710062164886;1.12840689280074;0.0;0.8284272181982715;0.8284302570046975;0.8284305357101971;1.12840773489836;0.8218594567265427;1.4255767050307213;1.1284049603220865;1.1284113778970095;1.4255827435097217;1.4255787620400042;1.503967674971591;1.128408626011037;1.5039745205073132
A/American_black_duck/New_Brunswick/02490/2007(H7N3);1.096376886463304;1.042275888826282;1.042275888826282;1.080562831108864;1.3612944560391043;0.9258775843746321;0.9262097223935939;1.1555188820977946;0.8948012513424146;0.763933514806638;0.8948005745105547;0.548188443231652;1.096376886463304;1.6204156814775388;1.042275888826282;1.284602716047857;0.8218594567265427;1.1555188820977946;1.3166272495535623;1.6204156814775388;1.5823590929823013;0.8218594567265427;1.5823590929823013;1.1555188820977946;0.8284272181982715;0.0;0.6833751271042843;0.7920798235593338;1.316632283517265;1.042275888826282;1.5823672052185884;0.8948026208202009;1.361295118515045;1.582358142195858;1.5823560566494166;1.620410153953685;1.3612929594643788;1.6204156814775388
A/American_green-winged_teal/California/44242-906/2007(H7N3);1.0963838611905885;1.1414289770639243;1.1414289770639243;1.483317396939583;0.8292345199487272;1.4833196708937066;1.483317396939583;1.1555163410162095;0.6356752380855824;0.7639320016110105;0.8874214510888123;0.6833751271042843;1.0963796054293198;1.101022976286231;1.483327666725927;1.2846125444889367;1.1414314254475357;1.1555143873270026;1.3166307316903385;1.1010289662358446;1.34168892100206;0.8218617427439767;1.34168892100206;1.0426517054927444;0.8284302570046975;0.6833751271042843;0.0;0.7920798235593338;1.316632283517265;1.096376886463304;1.372095062392873;0.8218617427439767;1.096377588337532;1.1010266222176028;1.3910870487347324;1.3416956179015642;0.9014267910162062;1.3416875987907133
A/avian/Delaware_Bay/226/2006(H7N3);1.0963798998242567;1.0963798998242567;0.894798012985234;1.1555138048020694;1.3612866288769965;1.1701199159017222;0.9262117571880424;1.1701199159017222;0.7920798235593338;0.7920798235593338;0.8874181601562157;0.7920798235593338;1.0963798998242567;1.5466825748729889;1.042278045140165;1.2741838862201291;0.7920798235593338;1.0963798998242567;1.4641072146751526;1.5466825748729889;1.4348803644226678;0.7920798235593338;1.4348803644226678;1.0080410866737282;0.8284305357101971;0.7920798235593338;0.7920798235593338;0.0;1.316631966154091;1.0963778121645191;1.4348819371753052;1.0352785136492457;1.3612880778555336;1.4348833573185402;1.434883613147349;1.546671675896505;1.3612929594643788;1.5466697166862104
A/chicken/British_Columbia/GSC_human_B/04(H7N3);1.0963822697447085;1.12840773489836;1.4255761332645989;1.4439467060392417;1.4439467060392417;1.4439467060392417;1.316632283517265;1.8524302165908466;1.316632283517265;1.12840773489836;0.8948011259690247;1.1701151093272983;1.0963822697447085;1.9656744815711136;1.3166343250077261;1.8524287261352583;1.316632283517265;1.8524302165908466;1.0422816935169976;1.4255761332645989;1.9656652578350986;1.316632283517265;1.9656652578350986;1.4641128273342474;1.12840773489836;1.316632283517265;1.316632283517265;1.316631966154091;0.0;1.128412134098653;1.5304795150993868;1.1701185237470781;1.1284113778970095;1.443945833010389;1.4439523005210049;1.9656596422161101;1.5304805804777857;1.8524194447871878
A/chicken/Rizhao/713/2013(H7N9);1.042275888826282;1.042275888826282;1.042275888826282;1.1587652633799053;1.128412134098653;1.1587652633799053;1.1587652633799053;1.1555188820977946;1.096376886463304;0.8948012513424146;1.0963780576798854;1.042275888826282;1.042275888826282;1.4255792339026812;1.1587652633799053;1.225353579116927;0.8948012513424146;1.1555188820977946;1.3166272495535623;1.4255792339026812;1.5845769178185947;0.8948012513424146;1.5845769178185947;1.128412134098653;0.8218594567265427;1.042275888826282;1.096376886463304;1.0963778121645191;1.128412134098653;0.0;1.4255767050307213;1.1284049603220865;1.1284113778970095;1.4255827435097217;1.4255787620400042;1.503967674971591;1.128408626011037;1.5039745205073132
A/chicken/Jiangsu/1021/2013(H7N9);1.372095062392873;1.3912743284708995;1.3912743284708995;1.826462242952175;1.1769395505671696;1.826462242952175;1.826462242952175;0.979114492246822;1.372095062392873;1.372095062392873;1.372095062392873;1.372095062392873;1.372095062392873;1.1769395505671696;1.826462242952175;0.8372591975690398;1.5823672052185884;1.372095062392873;2.014950368023051;0.979114492246822;1.5845831879884145;1.372095062392873;1.5845831879884145;1.372095062392873;1.4255767050307213;1.5823672052185884;1.372095062392873;1.4348819371753052;1.5304795150993868;1.4255767050307213;0.0;1.3720945284769641;1.3720882233141083;1.3720875415337446;1.042279118169489;1.17694270350529;1.225353479547664;1.225353579116927
A/duck/Jiangxi/3096/2009(H7N9);1.7320665402257873;1.2979565900384387;1.2979565900384387;1.5672393087393175;0.7836196543696587;1.5672393087393175;1.5672393087393175;1.4439500718247018;0.8218617427439767;0.8948026208202009;0.9397678460900352;0.8948026208202009;1.7320665402257873;1.5304736841371778;1.5672423977830476;1.4439500718247018;1.2253508888636588;1.2253508888636588;1.2950277823520082;1.017108033902332;1.5304781104168796;0.8948026208202009;1.5304781104168796;1.0426603282576252;1.1284049603220865;0.8948026208202009;0.8218617427439767;1.0352785136492457;1.1701185237470781;1.1284049603220865;1.3720945284769641;0.0;1.096377588337532;1.0171049364632267;1.3910870487347324;1.5304806540307254;0.9014267910162062;1.4439539662420202
A/wild_duck/Korea/SH19-47/2010(H7N9);1.0422756729589082;1.2979640528659502;1.2979640528659502;1.8264624776645633;1.096377588337532;1.8264624776645633;1.8264624776645633;0.8948002165680009;1.096377588337532;0.8948002165680009;1.0963790731871086;1.361295118515045;1.0422756729589082;0.8948002165680009;1.8264624776645633;1.2846067900607068;1.5823582725797678;1.184722833685214;2.014955369395466;0.8948002165680009;1.5845766509364694;0.8948002165680009;1.5845766509364694;1.042279296576453;1.1284113778970095;1.361295118515045;1.096377588337532;1.3612880778555336;1.1284113778970095;1.1284113778970095;1.3720882233141083;1.096377588337532;0.0;1.0422758733981823;1.0478998150312862;1.1838676411309734;1.0422806859490379;1.042275888826282
A/turkey/Minnesota/1/1988(H7N9);1.0963766814342648;1.2979599675790041;1.2979599675790041;2.083354456654547;1.008034767540039;2.083354456654547;2.083354456654547;0.7836194368304064;1.0171049364632267;1.0171049364632267;1.0171049364632267;1.6584695980716333;1.0963766814342648;0.6126749446345627;2.083354456654547;1.2846018293107022;1.912406483964105;1.1847185953284907;2.3121343275904565;0.841917721352047;1.1555172456486957;1.1010266222176028;1.1555172456486957;1.0426517668147994;1.4255827435097217;1.582358142195858;1.1010266222176028;1.4348833573185402;1.443945833010389;1.4255827435097217;1.3720875415337446;1.0171049364632267;1.0422758733981823;0.0;0.7578789418745657;1.008036089056418;0.9014267910162062;0.548188443231652
A/mallard/Minnesota/AI09-3770/2009(H7N9);1.3910870487347324;1.042279118169489;0.5481891627321431;1.5823560566494166;1.0171040641582465;1.5823560566494166;1.5823560566494166;1.0171040641582465;1.3910870487347324;1.3910870487347324;1.3910870487347324;1.6584598198306821;1.3910870487347324;1.0171040641582465;1.5823560566494166;1.0171040641582465;1.5823560566494166;1.0963783254642863;2.3121256101216545;1.1010248469246164;1.3565953354294606;1.3910870487347324;1.3565953354294606;1.1237083735454405;1.4255787620400042;1.5823560566494166;1.3910870487347324;1.434883613147349;1.4439523005210049;1.4255787620400042;1.042279118169489;1.3910870487347324;1.0478998150312862;0.7578789418745657;0.0;1.0171010028490173;1.3910914759113098;1.0479008819761475
A/mallard/Postdam/178-4/1983(H2N2);1.7320550462488882;1.3912748887421458;1.3912748887421458;2.0833520187824206;0.8372546282312214;2.0833520187824206;2.0833520187824206;1.008036089056418;1.2997293596193913;1.2997293596193913;1.5304806540307254;1.8645063144914502;1.7320550462488882;0.8948004180176667;2.0833520187824206;1.0019696669431255;1.91240642999162;1.3346507406087085;2.605569329650507;0.8948004180176667;0.6719272659553326;1.3416956179015642;0.6719272659553326;1.0426544645707736;1.503967674971591;1.620410153953685;1.3416956179015642;1.546671675896505;1.9656596422161101;1.503967674971591;1.17694270350529;1.5304806540307254;1.1838676411309734;1.008036089056418;1.0171010028490173;0.0;0.8948048984724437;1.0080388875491053
A/duck/Hong_Kong/319/1978(H2N2);1.584582482648159;1.3912648238836596;1.3912648238836596;2.083347936091627;0.9014267910162062;2.083347936091627;2.083347936091627;0.9014267910162062;0.9014267910162062;0.9014267910162062;0.9014267910162062;1.3612929594643788;1.584582482648159;0.9014267910162062;2.083347936091627;1.225353479547664;1.9124095005574873;1.3346493761142142;2.01496216099963;0.8419164321085191;1.0422806859490379;0.9014267910162062;1.0422806859490379;1.04265338408959;1.128408626011037;1.3612929594643788;0.9014267910162062;1.3612929594643788;1.5304805804777857;1.128408626011037;1.225353479547664;0.9014267910162062;1.0422806859490379;0.9014267910162062;1.3910914759113098;0.8948048984724437;0.0;0.901422583462363
A/emperor_goose/Alaska/44297-260/2007(H2N2);1.4439539662420202;1.225353579116927;1.225353579116927;1.8795369069159733;1.0080388875491053;1.8795369069159733;1.8795369069159733;0.8825335729001154;1.2997310671050855;1.2997310671050855;1.4439552405156064;1.8645156971551842;1.4439539662420202;0.7836207280273584;1.8795369069159733;1.225353579116927;1.8795369069159733;1.225353579116927;2.6055691881072107;0.8419163074199787;1.1555188820977946;1.3416875987907133;1.1555188820977946;0.8372556610248694;1.5039745205073132;1.6204156814775388;1.3416875987907133;1.5466697166862104;1.8524194447871878;1.5039745205073132;1.225353579116927;1.4439539662420202;1.042275888826282;0.548188443231652;1.0479008819761475;1.0080388875491053;0.901422583462363;0.0
